target_gene,n_cells_used,n_cells_avail,n_sig,median_abs_lfc,mode,gate
ACLY,400,1026,1037,0.08480945867800065,downsampled,10779
ANXA6,400,2496,2,0.050966365400223965,downsampled,10779
ARPC2,400,980,247,0.06525719848878517,downsampled,10779
CENPB,400,1379,1,0.05086488266949003,downsampled,10779
COX4I1,400,1058,171,0.06241155022490742,downsampled,10779
COX6C,400,1025,383,0.06988346171651193,downsampled,10779
CSK,400,1572,206,0.062354497773937305,downsampled,10779
CTSV,400,1989,56,0.056711556980887035,downsampled,10779
CXCL12,400,1201,4,0.051317382775037675,downsampled,10779
DOT1L,400,1484,4139,0.14141958577171274,downsampled,10779
DPH2,400,670,3861,0.1439695826611115,downsampled,10779
EHMT1,400,1601,1658,0.0889433925035413,downsampled,10779
EIF3H,323,323,4830,0.1889127525067152,downsampled,10779
FUBP1,288,288,2490,0.12693754846161664,downsampled,10779
GNG12,400,677,585,0.07461660695161214,downsampled,10779
GSTZ1,400,1077,2,0.05143180423235636,downsampled,10779
HDAC3,400,504,3441,0.1300671235010808,downsampled,10779
HDAC8,400,1204,53,0.05872763720308466,downsampled,10779
HMGCR,400,843,302,0.06579881832588629,downsampled,10779
HMGXB4,400,1594,6,0.05519904898589364,downsampled,10779
HTATSF1,400,892,2093,0.10472285379707584,downsampled,10779
IGF1R,400,2056,196,0.0646498632782532,downsampled,10779
ITGAV,400,2034,2,0.05136530156922427,downsampled,10779
JAZF1,400,709,285,0.06371508087632191,downsampled,10779
JMJD8,400,767,7,0.052470835194261406,downsampled,10779
KLHDC2,400,1763,7,0.053494434073234405,downsampled,10779
KRT18,400,1602,4,0.05046420954615425,downsampled,10779
MAT2A,400,1428,5,0.0525049620492333,downsampled,10779
MAX,161,161,5398,0.2994761663517274,downsampled,10779
MGST1,400,2096,50,0.056673117194606736,downsampled,10779
MTFR1,400,1787,7,0.05087577895319873,downsampled,10779
NFE2L1,400,926,97,0.06028148895436669,downsampled,10779
PACSIN3,400,2101,14,0.054095169303816096,downsampled,10779
PAXIP1,400,1644,3200,0.12095380469778436,downsampled,10779
PPP2R3C,400,624,2323,0.10825003656059898,downsampled,10779
SH3BP4,400,2925,4,0.051102003074389134,downsampled,10779
SLIRP,400,2000,259,0.06565701706154321,downsampled,10779
SMARCB1,400,1706,2787,0.11203683350229819,downsampled,10779
SMARCE1,400,597,3914,0.13553890126860163,downsampled,10779
STRAP,400,644,4681,0.1644050066470507,downsampled,10779
SUPV3L1,339,339,2449,0.1213190844255496,downsampled,10779
TCF7L2,400,484,298,0.06283712691561875,downsampled,10779
THY1,400,1104,6,0.05204068321992657,downsampled,10779
TUSC3,400,1287,4,0.04962301176367606,downsampled,10779
UQCRB,400,959,582,0.07445914290868173,downsampled,10779
USF2,400,1207,4721,0.16384991198898557,downsampled,10779
VCL,400,894,69,0.05886631057197973,downsampled,10779
WAC,267,267,4052,0.1839263298470927,downsampled,10779
ZNF581,400,2502,15,0.053692032147314564,downsampled,10779
ZNF598,255,255,319,0.07988835141234665,downsampled,10779
ACLY,1026,1026,4828,0.0676469097766828,native,10780
