target_gene,n_cells,n_a,n_b,inter,union,h,jac
ACLY,1026,1103,1165,606,1662,0.5343915343915344,0.36462093862815886
ANXA6,2496,3,3,3,3,1.0,1.0
ARPC2,980,286,192,105,373,0.4393305439330544,0.28150134048257375
CENPB,1379,1,2,1,2,0.6666666666666666,0.5
COX4I1,1058,164,129,60,233,0.40955631399317405,0.2575107296137339
COX6C,1025,437,405,194,648,0.46080760095011875,0.2993827160493827
CSK,1572,154,129,64,219,0.45229681978798586,0.2922374429223744
CTSV,1989,75,87,35,127,0.43209876543209874,0.2755905511811024
CXCL12,1201,6,4,3,7,0.6,0.42857142857142855
DOT1L,1484,3865,4061,3007,4919,0.7587686096391623,0.6113031103882903
EHMT1,1601,1592,1575,947,2220,0.5980423113356489,0.42657657657657655
GSTZ1,1077,3,2,2,3,0.8,0.6666666666666666
HDAC8,1204,69,69,28,110,0.4057971014492754,0.2545454545454545
HMGCR,843,333,357,188,502,0.5449275362318841,0.3745019920318725
HMGXB4,1594,11,4,3,12,0.4,0.25
HTATSF1,892,1926,2074,1100,2900,0.55,0.3793103448275862
IGF1R,2056,198,240,97,341,0.4429223744292237,0.2844574780058651
ITGAV,2034,3,3,2,4,0.6666666666666666,0.5
KLHDC2,1763,4,5,3,6,0.6666666666666666,0.5
KRT18,1602,4,4,4,4,1.0,1.0
MAT2A,1428,6,6,4,8,0.6666666666666666,0.5
MGST1,2096,59,62,31,90,0.512396694214876,0.34444444444444444
MTFR1,1787,3,5,3,5,0.75,0.6
NFE2L1,926,112,112,61,163,0.5446428571428571,0.37423312883435583
PACSIN3,2101,10,3,3,10,0.46153846153846156,0.3
PAXIP1,1644,3215,3007,2112,4110,0.6788813886210222,0.5138686131386861
SH3BP4,2925,5,3,3,5,0.75,0.6
SLIRP,2000,245,218,106,357,0.45788336933045354,0.2969187675070028
SMARCB1,1706,2856,2869,1952,3773,0.6819213973799126,0.5173601908295786
THY1,1104,5,10,4,11,0.5333333333333333,0.36363636363636365
TUSC3,1287,5,3,3,5,0.75,0.6
UQCRB,959,564,564,276,852,0.48936170212765956,0.323943661971831
USF2,1207,4815,4727,3684,5858,0.7721651645357367,0.6288835780129737
VCL,894,52,62,24,90,0.42105263157894735,0.26666666666666666
ZNF581,2502,21,16,13,24,0.7027027027027027,0.5416666666666666
