target_gene,n_real,h_eq,h_253,rho_lfc_mde
ACLY,1037,0.11668273866923819,0.029893924783027964,0.1465239432124001
ANXA6,2,0.0,0.0,0.14584342705362693
ARPC2,247,0.03643724696356275,0.03643724696356275,0.136960862513904
CENPB,1,0.0,0.0,0.14602007946152337
COX4I1,171,0.005847953216374269,0.017543859649122806,0.15583342440619533
COX6C,383,0.033942558746736295,0.018276762402088774,0.14049312458437435
CSK,206,0.014563106796116505,0.014563106796116505,0.1514360913275278
CTSV,56,0.017857142857142856,0.017857142857142856,0.15616723490574444
CXCL12,4,0.0,0.0,0.1589288433842379
DOT1L,4139,0.42715631795119596,0.02536844648465813,0.1157811282078353
DPH2,3861,0.44522144522144524,0.027972027972027972,0.08774774875387706
EHMT1,1658,0.15922798552472858,0.023522316043425813,0.14762952629162882
EIF3H,4830,0.5022774327122154,0.02608695652173913,0.10462165868406882
FUBP1,2490,0.26907630522088355,0.02530120481927711,0.13136296547159393
GNG12,585,0.04957264957264957,0.006837606837606838,0.12608604804128304
GSTZ1,2,0.0,0.0,0.14943138721860097
HDAC3,3441,0.35367625690206334,0.03022377215925603,0.13515189697821256
HDAC8,53,0.0,0.0,0.1585646330672823
HMGCR,302,0.03642384105960265,0.026490066225165563,0.15040497277465895
HMGXB4,6,0.0,0.0,0.16427737703747858
HTATSF1,2093,0.2556139512661252,0.030578117534639272,0.1078900999807601
IGF1R,196,0.015306122448979591,0.015306122448979591,0.1594787995908045
ITGAV,2,0.0,0.0,0.17061795339065677
JAZF1,285,0.03859649122807018,0.03508771929824561,0.15845622089847358
JMJD8,7,0.0,0.0,0.14227884343575758
KLHDC2,7,0.0,0.14285714285714285,0.16500174527322795
KRT18,4,0.0,0.0,0.15960517213878647
MAT2A,5,0.0,0.0,0.1599705739260931
MAX,5398,0.5761393108558726,0.026861800666913672,0.064674657386318
MGST1,50,0.0,0.0,0.1665193215483854
MTFR1,7,0.0,0.0,0.1679283123173109
NFE2L1,97,0.0,0.030927835051546393,0.17200156745235085
PACSIN3,14,0.0,0.0,0.1699969267271667
PAXIP1,3200,0.330625,0.0246875,0.14010489179153587
PPP2R3C,2323,0.27034007748600947,0.02755058114507103,0.12366758967272051
SH3BP4,4,0.0,0.0,0.16329949002760535
SLIRP,259,0.02702702702702703,0.02702702702702703,0.14518566757551302
SMARCB1,2787,0.2795120200932903,0.024398995335486187,0.14134034933780004
SMARCE1,3914,0.373530914665304,0.026571282575370465,0.144694658492779
STRAP,4681,0.4915616321298868,0.028199102755821406,0.08929512489846289
SUPV3L1,2449,0.30543078807676605,0.0310330747243773,0.10601428583355062
TCF7L2,298,0.006711409395973154,0.006711409395973154,0.15892135272195573
THY1,6,0.0,0.0,0.16553287591907953
TUSC3,4,0.0,0.0,0.15133355948304886
UQCRB,582,0.07388316151202749,0.024054982817869417,0.11761607891785546
USF2,4721,0.4816776106757043,0.023300148273670832,0.12046798459810441
VCL,69,0.0,0.014492753623188406,0.15991059266909913
WAC,4052,0.4585389930898322,0.03183613030602172,0.07704453195256587
ZNF581,15,0.0,0.0,0.153676679203778
ZNF598,319,0.050156739811912224,0.03761755485893417,0.14784535877373317
