target_gene,n_real,h_eq,h_bk,k_bk,h_zero,h_rand,tau_over_se,pi0,tau
ACLY,666,0.13213213213213212,0.6051051051051051,4519,0.1036036036036036,0.08708708708708708,0.41835052031922876,0.7866010637603713,0.11358625835384929
ANXA6,4,0.0,0.0,10,0.0,0.0,1.3802064371267604,0.999999,0.22260201644739674
ARPC2,157,0.03821656050955414,0.01910828025477707,11,0.01910828025477707,0.012738853503184714,6.801496225512898,0.998901565760518,0.7858891490756122
CENPB,2,0.0,0.0,5,0.0,0.0,0.1798018091306961,0.8875374197570739,0.029253219371068576
COX4I1,98,0.02040816326530612,0.01020408163265306,11,0.0,0.02040816326530612,5.129389458376522,0.9982532743769293,1.0888981970813127
COX6C,259,0.0888030888030888,0.40540540540540543,2559,0.02702702702702703,0.04247104247104247,0.6135028011438339,0.28169208064490703,0.12006420145954518
CSK,76,0.013157894736842105,0.05263157894736842,262,0.013157894736842105,0.0,0.31350202025905294,0.8870680733517737,0.0629889008659352
CTSV,55,0.14545454545454545,0.07272727272727272,12,0.01818181818181818,0.0,3.9502828671240136,0.9974774766973948,0.6777774151602484
DOT1L,2363,0.34828607702073633,0.03639441388066018,210,0.3749471011426153,0.3457469318662717,3.7600092056407473,0.9995115103797958,0.7233081710572221
DPH2,2592,0.44483024691358025,0.8233024691358025,5479,0.4332561728395062,0.373070987654321,0.8612467122431059,0.29544463006031624,0.14280647133874186
EHMT1,817,0.15667074663402691,0.6511627906976745,4580,0.11872705018359853,0.12484700122399021,0.5712303660079994,0.558709622226715,0.13048676278734125
EIF3H,3272,0.5461491442542787,0.8728606356968215,5741,0.5155867970660146,0.45812958435207823,1.6171716595142593,0.0022187541496502387,0.24367731425490813
FUBP1,1705,0.2697947214076246,0.7806451612903226,5356,0.2697947214076246,0.24926686217008798,0.45780896328369347,0.7422833715112415,0.14521851992607607
GNG12,434,0.06912442396313365,0.016129032258064516,85,0.08064516129032258,0.04608294930875576,1.6315114342283912,0.9967481842066916,0.2876310600620659
GSTZ1,1,0.0,0.0,2,0.0,0.0,1.0863912846373294,0.9962322943504524,0.21047745053943326
HDAC3,2261,0.33923042901371075,0.10349402919062362,644,0.3666519239274657,0.3348076072534277,2.284645965094216,0.9947407729082095,0.48767955373273214
HDAC8,48,0.020833333333333332,0.041666666666666664,177,0.020833333333333332,0.020833333333333332,0.34669503384894773,0.7069258281215561,0.07563248676762885
HMGCR,230,0.21739130434782608,0.1391304347826087,46,0.030434782608695653,0.030434782608695653,4.168457478530636,0.9911368872244756,0.6109017287031274
HMGXB4,3,0.3333333333333333,0.3333333333333333,1,0.0,0.0,20.80671113908784,0.9998190139915059,3.667839890041776
HTATSF1,1413,0.21443736730360935,0.03255484784147204,196,0.2505307855626327,0.21302193913658882,3.65669912871462,0.9952491086680048,0.5728614478437625
IGF1R,133,0.045112781954887216,0.022556390977443608,71,0.015037593984962405,0.022556390977443608,1.6110985379813796,0.999999,0.254357057458025
ITGAV,4,0.0,0.0,6,0.0,0.0,1.4523398435475547,0.999999,0.3606683571930795
JAZF1,116,0.1724137931034483,0.11206896551724138,50,0.034482758620689655,0.0,4.655515872059752,0.9895554783912995,0.5411029259124718
JMJD8,6,0.0,0.0,14,0.0,0.0,0.0053148854337915,0.9000204343975905,0.0010004745837414728
KLHDC2,4,0.25,0.25,1,0.0,0.0,16.473610988681948,0.9998187818577526,2.349316000107968
KRT18,4,0.5,0.5,3,0.0,0.0,12.306316147586928,0.9992027628541454,2.065962883388041
MAT2A,5,0.2,0.2,59,0.0,0.0,0.5697585975031356,0.5043748113717371,0.17282660126543034
MAX,3662,0.5445111960677226,0.8380666302566904,5578,0.5824685963954124,0.5256690333151284,1.1811495751154024,0.29697213377447323,0.22803142073878774
MGST1,27,0.07407407407407407,0.07407407407407407,4,0.0,0.0,16.300035483425777,0.9994885169742173,2.796130546678855
MTFR1,5,0.0,0.0,3,0.0,0.0,1.6447627297611405,0.999999,0.29138509058248746
NFE2L1,75,0.02666666666666667,0.10666666666666667,888,0.013333333333333334,0.0,0.19962933606370425,0.8974777044075399,0.05273050233533929
PACSIN3,2,0.0,0.0,23,0.0,0.0,0.11395974466095016,0.8980478979392829,0.02029523681364137
PAXIP1,2041,0.3032827045565899,0.6354728074473297,4501,0.3170014698677119,0.2895639392454679,0.7996426069246105,0.8728581048290417,0.17393626283552469
PPP2R3C,1625,0.24369230769230768,0.6615384615384615,4651,0.28307692307692306,0.23446153846153847,0.6224163101334035,0.944627718810192,0.13530138285139767
SLIRP,214,0.0514018691588785,0.028037383177570093,17,0.04672897196261682,0.018691588785046728,3.455493587405718,0.9972616347191268,1.3427783134196765
