target_gene,n_cells,beta_l2,med_abs_beta,r2_k1,r2_k2,r2_k5,r2_k10,r2_k20,r2_k50,r2_k100,r2_k200,r2_rand20
ACLY,400,18.09334688939988,0.08419536799192429,0.0022286197710658685,0.002523392468587429,0.022961633213184313,0.05790399347119677,0.18697171843179705,0.22853948184592598,0.23331452450836815,0.24618168113047595,0.0017216576985269456
ANXA6,400,11.019617101313925,0.048972051590681076,1.4743741790075036e-05,2.9112905140113958e-05,0.0068426735308956274,0.009249572608760939,0.01450163723358337,0.016734754494283546,0.020658150308519616,0.029178020309958388,0.0014585857437769889
ARPC2,400,12.68042817364588,0.06265994906425476,0.022213776459996618,0.03129056547856007,0.05203255852508131,0.11084131645977076,0.23308407385373742,0.24907617823809966,0.2515272951609106,0.25793786850263156,0.0025858970894703584
CENPB,400,10.93040366890603,0.04960260167717934,0.0024360238145336487,0.0027201537960434645,0.010139715677096437,0.014215552492838287,0.016718150130654176,0.02128006969819268,0.025710938966746404,0.03463513096708358,0.001791292732808375
COX4I1,400,12.52856051153567,0.061576277017593384,0.00537276775320465,0.007466429278572919,0.01530155601857401,0.038648592348073225,0.052077291029991986,0.10252880450151539,0.1092353419857416,0.11836131615450293,0.0019281786640989217
COX6C,400,13.94217182771169,0.07015403360128403,0.00019863791840351916,0.0222978840441599,0.02948325282043714,0.052350199110459406,0.08202690562015078,0.15133097472674809,0.15796206343275382,0.1668436144926353,0.0014115242145086488
CSK,400,15.952253626116692,0.05996578559279442,0.011376745126020297,0.01154493661089123,0.015594642372949856,0.027191319615710856,0.04385292549112161,0.06567130676465893,0.06961407689068823,0.08333076246336772,0.0016948680421165765
CTSV,400,14.240297460985278,0.0564911887049675,0.0032645769184768032,0.0036618638710602456,0.01548820558687618,0.028429229834215565,0.03975290087396428,0.04930170349594742,0.053679684356138714,0.06275755677968678,0.0024033058903008835
CXCL12,400,11.192997609916901,0.04876057431101799,0.0001471470571486328,0.0035756382052130552,0.023085445258024133,0.025214492843027323,0.030536834913625556,0.03686853648645991,0.03950211919175545,0.04544665926847007,0.0024765612045074396
DOT1L,400,37.85973612085305,0.1318812072277069,0.004206415038874707,0.011825351756187702,0.015569096636780428,0.021690664611267407,0.08769108195633449,0.15271735881251725,0.16348046283444453,0.17677428287419555,0.0028580522921744203
DPH2,400,24.955953629986396,0.13729454576969147,0.0033524501610846936,0.02125145985147515,0.048702023966407514,0.07457380593532954,0.2231166090696847,0.26704972261229454,0.27958256651419955,0.29175831827462095,0.0025631678082426715
EHMT1,400,21.87180082633158,0.08654250204563141,3.026879099193967e-05,3.0875616275713876e-05,0.002555082536416582,0.05082546783134404,0.1968076409337578,0.2384579762933215,0.2471001722825311,0.2570967184662555,0.0024390140309850828
EIF3H,323,36.447137045701204,0.18177877366542816,0.00033515100236175777,0.003748192317832365,0.010603365821549719,0.05382449824952707,0.2026259253412131,0.24230164997856132,0.2536279651857225,0.26659301123063145,0.0017248927064003224
