target_gene,n_real,r_raw,h_raw,r_k5,h_k5,r_k10,h_k10,r_k20,h_k20,r_k50,h_k50,r_k100,h_k100,r_k200,h_k200,r_k400,h_k400
ACLY,1325,0.6793577671051025,0.33433962264150946,0.0763043463230133,0.13132075471698113,0.19874507188796997,0.19471698113207547,0.4207424819469452,0.26716981132075474,0.46821051836013794,0.2860377358490566,0.4730980098247528,0.29660377358490564,0.48065096139907837,0.2988679245283019,0.4899149537086487,0.30566037735849055
ARPC2,189,0.3900146484375,0.15343915343915343,0.2074262648820877,0.06349206349206349,0.29837411642074585,0.17989417989417988,0.4121381342411041,0.25925925925925924,0.4275808036327362,0.25396825396825395,0.4282906949520111,0.25925925925925924,0.4271746873855591,0.24867724867724866,0.4244820773601532,0.25396825396825395
COX4I1,128,0.34553462266921997,0.0859375,0.13509997725486755,0.0,0.1678827702999115,0.0546875,0.1957341581583023,0.0859375,0.2736971080303192,0.1640625,0.2725337743759155,0.1796875,0.27314209938049316,0.203125,0.2769753634929657,0.1640625
COX6C,458,0.4619519114494324,0.13537117903930132,0.1659221649169922,0.06986899563318777,0.20859146118164062,0.08296943231441048,0.2656688690185547,0.10262008733624454,0.37178173661231995,0.16812227074235808,0.3762596845626831,0.1703056768558952,0.37367820739746094,0.17248908296943233,0.3775371015071869,0.1572052401746725
CSK,150,0.6039383411407471,0.28,0.03266890347003937,0.03333333333333333,0.07938215136528015,0.03333333333333333,0.1431213617324829,0.06,0.19016976654529572,0.07333333333333333,0.19889399409294128,0.07333333333333333,0.20658960938453674,0.06666666666666667,0.23481102287769318,0.08666666666666667
CTSV,87,0.5159669518470764,0.28735632183908044,0.02083076722919941,0.0,0.1358984410762787,0.04597701149425287,0.14035451412200928,0.08045977011494253,0.14969418942928314,0.08045977011494253,0.15387386083602905,0.08045977011494253,0.15909287333488464,0.09195402298850575,0.1700313687324524,0.09195402298850575
DOT1L,3902,0.9289761781692505,0.6691440287032291,0.12326973676681519,0.38006150691952845,0.14677447080612183,0.39056893900563816,0.2857252359390259,0.4187596104561763,0.3820396959781647,0.4131214761660687,0.392300546169281,0.4079958995386981,0.41078972816467285,0.4105586878523834,0.43477270007133484,0.40850845720143514
EHMT1,1690,0.7812288999557495,0.45798816568047335,0.011375573463737965,0.17159763313609466,0.20649951696395874,0.2940828402366864,0.4317067563533783,0.3349112426035503,0.480025053024292,0.34911242603550297,0.4877975881099701,0.36153846153846153,0.49262744188308716,0.3603550295857988,0.5012848377227783,0.3591715976331361
HDAC8,64,0.3511325418949127,0.140625,0.05521591007709503,0.0,0.08333577960729599,0.0,0.1319095939397812,0.015625,0.16801579296588898,0.09375,0.17220738530158997,0.09375,0.17703820765018463,0.109375,0.184153214097023,0.125
HMGCR,318,0.5563062429428101,0.34591194968553457,0.13496793806552887,0.03773584905660377,0.17682373523712158,0.05660377358490566,0.4460616111755371,0.3805031446540881,0.4673728346824646,0.41509433962264153,0.469147264957428,0.4119496855345912,0.4708256721496582,0.4088050314465409,0.4704257845878601,0.39937106918238996
HMGXB4,5,0.2633897364139557,0.2,0.08513948321342468,0.0,0.1293342113494873,0.0,0.14588850736618042,0.0,0.15614831447601318,0.2,0.15635956823825836,0.2,0.1578674614429474,0.2,0.1558220386505127,0.2
HTATSF1,1813,0.6834582090377808,0.3800330943188086,0.17564475536346436,0.17264202978488694,0.2533077597618103,0.1825703254274683,0.3014231026172638,0.21290678433535576,0.3645361363887787,0.23000551571980143,0.37139588594436646,0.23552123552123552,0.37677884101867676,0.23110865968008826,0.3922596275806427,0.2338665195808053
IGF1R,285,0.4097971022129059,0.14385964912280702,0.18658743798732758,0.04912280701754386,0.3032362759113312,0.12631578947368421,0.3657430410385132,0.15789473684210525,0.39031028747558594,0.16842105263157894,0.39184343814849854,0.16842105263157894,0.39142319560050964,0.1824561403508772,0.3866312801837921,0.17543859649122806
KLHDC2,8,0.23057398200035095,0.125,0.029405152425169945,0.0,0.1254914104938507,0.0,0.1240081861615181,0.0,0.13236546516418457,0.0,0.13418877124786377,0.0,0.12530526518821716,0.0,0.11298301815986633,0.0
