target_gene,n_real,h_abs_beta,h_beta_over_mde,h_official_padj,h_inv_mde
ACLY,1241,0.32554391619661566,0.37711522965350525,0.5511684125705076,0.1514907332796132
ARPC2,269,0.1449814126394052,0.20074349442379183,0.3828996282527881,0.026022304832713755
COX4I1,99,0.1111111111111111,0.15151515151515152,0.3939393939393939,0.0
COX6C,377,0.15119363395225463,0.1856763925729443,0.4588859416445623,0.026525198938992044
CSK,177,0.2542372881355932,0.22598870056497175,0.4576271186440678,0.022598870056497175
CTSV,69,0.36231884057971014,0.2463768115942029,0.5507246376811594,0.014492753623188406
DOT1L,4143,0.6683562635771181,0.589669321747526,0.7574221578566256,0.4146753560222061
EHMT1,1733,0.4529717253317946,0.4270051933064051,0.5891517599538373,0.16156953260242354
HDAC8,83,0.10843373493975904,0.13253012048192772,0.3855421686746988,0.012048192771084338
HMGCR,337,0.33827893175074186,0.3264094955489614,0.5934718100890207,0.050445103857566766
HMGXB4,6,0.16666666666666666,0.16666666666666666,0.5,0.0
HTATSF1,2084,0.3968330134357006,0.4678502879078695,0.5796545105566219,0.2514395393474088
IGF1R,241,0.16597510373443983,0.21161825726141079,0.46473029045643155,0.012448132780082987
MAT2A,5,0.4,0.2,1.0,0.0
MGST1,56,0.23214285714285715,0.26785714285714285,0.5892857142857143,0.0
NFE2L1,118,0.11016949152542373,0.19491525423728814,0.5,0.00847457627118644
PACSIN3,10,0.1,0.1,0.3,0.0
PAXIP1,3145,0.5694753577106518,0.5329093799682035,0.6890302066772656,0.32432432432432434
SLIRP,248,0.14919354838709678,0.18951612903225806,0.4475806451612903,0.03225806451612903
SMARCB1,2716,0.5544918998527246,0.5003681885125184,0.6822533136966127,0.2761413843888071
THY1,10,0.2,0.1,0.6,0.0
UQCRB,595,0.15630252100840336,0.24201680672268908,0.48067226890756304,0.05714285714285714
USF2,4634,0.6819162710401381,0.6258092360811394,0.7706085455330168,0.4732412602503237
VCL,45,0.2,0.13333333333333333,0.4,0.0
ZNF581,24,0.25,0.125,0.625,0.0
