target_gene,n_real,h_p_exceed,h_abs_beta,h_wald_z,h_wald_z_gated,h_inv_mde,chance
ACLY,666,0.13213213213213212,0.09009009009009009,0.12912912912912913,0.13363363363363365,0.1036036036036036,0.09492588369441277
ANXA6,1,0.0,1.0,0.0,0.0,0.0,0.00014253135689851768
ARPC2,133,0.06015037593984962,0.045112781954887216,0.06015037593984962,0.06766917293233082,0.03007518796992481,0.01895667046750285
CENPB,1,0.0,1.0,1.0,1.0,0.0,0.00014253135689851768
COX4I1,126,0.047619047619047616,0.03968253968253968,0.07142857142857142,0.06349206349206349,0.007936507936507936,0.01795895096921323
COX6C,280,0.11071428571428571,0.06428571428571428,0.12142857142857143,0.12142857142857143,0.039285714285714285,0.039908779931584946
CSK,103,0.009708737864077669,0.02912621359223301,0.02912621359223301,0.038834951456310676,0.009708737864077669,0.01468072976054732
CTSV,33,0.12121212121212122,0.15151515151515152,0.12121212121212122,0.12121212121212122,0.030303030303030304,0.004703534777651083
DOT1L,2255,0.33614190687361417,0.32239467849223946,0.34811529933481156,0.35609756097560974,0.3623059866962306,0.32140820980615736
DPH2,2780,0.4741007194244604,0.4244604316546763,0.4589928057553957,0.48345323741007196,0.4553956834532374,0.3962371721778791
EHMT1,916,0.17576419213973798,0.14737991266375547,0.17139737991266377,0.17467248908296942,0.13864628820960698,0.1305587229190422
EIF3H,3259,0.5412703283215711,0.5023013194231359,0.523166615526235,0.5428045412703283,0.5213255599877263,0.4645096921322691
FUBP1,1679,0.26325193567599764,0.2221560452650387,0.26325193567599764,0.27635497319833235,0.27754615842763547,0.23931014823261118
GNG12,446,0.07174887892376682,0.04484304932735426,0.07174887892376682,0.07399103139013453,0.07847533632286996,0.06356898517673888
GSTZ1,1,0.0,1.0,0.0,0.0,0.0,0.00014253135689851768
HDAC3,2195,0.33530751708428247,0.30159453302961275,0.33302961275626425,0.3412300683371298,0.34305239179954444,0.3128563283922463
HDAC8,39,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.0,0.005558722919042189
HMGCR,239,0.200836820083682,0.1506276150627615,0.19246861924686193,0.19665271966527198,0.04184100418410042,0.034064994298745724
HMGXB4,1,1.0,1.0,1.0,1.0,0.0,0.00014253135689851768
HTATSF1,1313,0.18735719725818736,0.15308453922315307,0.2003046458492003,0.2079207920792079,0.2338156892612338,0.1871436716077537
IGF1R,113,0.017699115044247787,0.008849557522123894,0.017699115044247787,0.017699115044247787,0.008849557522123894,0.016106043329532495
ITGAV,2,0.0,0.5,0.0,0.0,0.0,0.00028506271379703536
JAZF1,115,0.16521739130434782,0.16521739130434782,0.19130434782608696,0.1826086956521739,0.02608695652173913,0.016391106043329533
JMJD8,6,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0008551881413911061
KLHDC2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.00042759407069555304
KRT18,4,0.5,0.75,0.5,0.5,0.0,0.0005701254275940707
MAT2A,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0008551881413911061
MAX,3583,0.5355847055540051,0.49399944180854033,0.5235835891710857,0.5500976835054424,0.5690761931342451,0.5106898517673888
MGST1,41,0.04878048780487805,0.07317073170731707,0.04878048780487805,0.04878048780487805,0.0,0.005843785632839224
MTFR1,4,0.0,0.5,0.25,0.25,0.0,0.0005701254275940707
NFE2L1,78,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.0,0.011117445838084378
PACSIN3,3,0.0,0.3333333333333333,0.0,0.0,0.0,0.00042759407069555304
PAXIP1,1969,0.29964448958862366,0.28593194514982223,0.3057389537836465,0.31183341797866937,0.3016759776536313,0.2806442417331813
PPP2R3C,1610,0.24099378881987576,0.20993788819875778,0.2515527950310559,0.2565217391304348,0.2670807453416149,0.22947548460661346
SLIRP,173,0.057803468208092484,0.03468208092485549,0.06936416184971098,0.06936416184971098,0.011560693641618497,0.024657924743443558
SMARCB1,1549,0.2537120723047127,0.24919302775984506,0.26404131697869593,0.26662362814719176,0.2485474499677211,0.22078107183580387
SMARCE1,2411,0.362090418913314,0.3488179178763998,0.3670676068021568,0.3757776856076317,0.3488179178763998,0.34364310148232613
STRAP,3027,0.4846382556987116,0.451602246448629,0.4767096134786918,0.489593657086224,0.4760488932936901,0.431442417331813
SUPV3L1,1765,0.3053824362606232,0.25325779036827195,0.3082152974504249,0.3189801699716714,0.31558073654390933,0.2515678449258837
TCF7L2,127,0.015748031496062992,0.06299212598425197,0.05511811023622047,0.05511811023622047,0.015748031496062992,0.018101482326111744
TUSC3,1,1.0,1.0,1.0,1.0,0.0,0.00014253135689851768
UQCRB,393,0.11704834605597965,0.04834605597964377,0.12468193384223919,0.13231552162849872,0.05343511450381679,0.056014823261117445
USF2,3086,0.42449773169151006,0.39857420609202854,0.42773817239144524,0.4475048606610499,0.4692158133506157,0.43985176738882553
VCL,19,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.002708095781071836
WAC,2739,0.4173055859802848,0.3738590726542534,0.4085432639649507,0.425337714494341,0.45819642205184374,0.3903933865450399
ZNF581,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.001282782212086659
ZNF598,209,0.04784688995215311,0.03827751196172249,0.05263157894736842,0.04784688995215311,0.028708133971291867,0.029789053591790193
