target_gene,n_real,chance,fold,h_D_lfcse,h_F_sigma_gene,h_G_sigma_feat,h_H_sigma_only
COX6C,280,0.039908779931584946,0,0.12142857142857143,0.08214285714285714,0.10357142857142858,0.06785714285714285
DPH2,2780,0.3962371721778791,0,0.48345323741007196,0.4737410071942446,0.48345323741007196,0.4737410071942446
ITGAV,2,0.00028506271379703536,0,0.0,0.0,0.0,0.5
JAZF1,115,0.016391106043329533,0,0.1826086956521739,0.1391304347826087,0.1565217391304348,0.1391304347826087
JMJD8,6,0.0008551881413911061,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
MAT2A,6,0.0008551881413911061,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
MGST1,41,0.005843785632839224,0,0.04878048780487805,0.04878048780487805,0.07317073170731707,0.04878048780487805
PACSIN3,3,0.00042759407069555304,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
PAXIP1,1969,0.2806442417331813,0,0.31183341797866937,0.29608938547486036,0.3128491620111732,0.28288471305231083
TUSC3,1,0.00014253135689851768,0,1.0,1.0,1.0,1.0
ACLY,666,0.09492588369441277,1,0.13363363363363365,0.12162162162162163,0.13963963963963963,0.1111111111111111
ANXA6,1,0.00014253135689851768,1,0.0,1.0,1.0,1.0
COX4I1,126,0.01795895096921323,1,0.06349206349206349,0.007936507936507936,0.03968253968253968,0.023809523809523808
CTSV,33,0.004703534777651083,1,0.12121212121212122,0.18181818181818182,0.18181818181818182,0.12121212121212122
DOT1L,2255,0.32140820980615736,1,0.35609756097560974,0.3401330376940133,0.3507760532150776,0.33082039911308203
GNG12,446,0.06356898517673888,1,0.07399103139013453,0.06053811659192825,0.06502242152466367,0.06053811659192825
HMGXB4,1,0.00014253135689851768,1,1.0,1.0,1.0,1.0
STRAP,3027,0.431442417331813,1,0.489593657086224,0.48067393458870167,0.4872811364387182,0.474397092831186
SUPV3L1,1765,0.2515678449258837,1,0.3189801699716714,0.30991501416430595,0.31841359773371103,0.3059490084985836
WAC,2739,0.3903933865450399,1,0.425337714494341,0.4125593282219788,0.4220518437385907,0.4100036509675064
CSK,103,0.01468072976054732,2,0.038834951456310676,0.038834951456310676,0.038834951456310676,0.02912621359223301
EHMT1,916,0.1305587229190422,2,0.17467248908296942,0.14301310043668122,0.1615720524017467,0.1277292576419214
HDAC8,39,0.005558722919042189,2,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128
KRT18,4,0.0005701254275940707,2,0.5,0.5,0.5,0.5
SLIRP,173,0.024657924743443558,2,0.06936416184971098,0.04046242774566474,0.06358381502890173,0.028901734104046242
SMARCB1,1549,0.22078107183580387,2,0.26662362814719176,0.2524209167204648,0.26920593931568754,0.2446739832149774
VCL,19,0.002708095781071836,2,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
ZNF581,9,0.001282782212086659,2,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
ZNF598,209,0.029789053591790193,2,0.04784688995215311,0.028708133971291867,0.04784688995215311,0.014354066985645933
ARPC2,133,0.01895667046750285,3,0.06766917293233082,0.022556390977443608,0.045112781954887216,0.015037593984962405
EIF3H,3259,0.4645096921322691,3,0.5428045412703283,0.5354403191162933,0.5412703283215711,0.5339061061675361
GSTZ1,1,0.00014253135689851768,3,0.0,1.0,1.0,1.0
HMGCR,239,0.034064994298745724,3,0.19665271966527198,0.17154811715481172,0.200836820083682,0.16317991631799164
IGF1R,113,0.016106043329532495,3,0.017699115044247787,0.0,0.02654867256637168,0.0
KLHDC2,3,0.00042759407069555304,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
NFE2L1,78,0.011117445838084378,3,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282
UQCRB,393,0.056014823261117445,3,0.13231552162849872,0.0916030534351145,0.10941475826972011,0.07888040712468193
USF2,3086,0.43985176738882553,3,0.4475048606610499,0.42935839274141285,0.4439403758911212,0.4290343486714193
CENPB,1,0.00014253135689851768,4,1.0,1.0,1.0,1.0
FUBP1,1679,0.23931014823261118,4,0.27635497319833235,0.2686122692078618,0.2692078618225134,0.2519356759976176
HDAC3,2195,0.3128563283922463,4,0.3412300683371298,0.3312072892938497,0.34305239179954444,0.32801822323462415
HTATSF1,1313,0.1871436716077537,4,0.2079207920792079,0.18964204112718963,0.19878141660319879,0.19116527037319117
MAX,3583,0.5106898517673888,4,0.5500976835054424,0.5489813005861011,0.5475858219369244,0.547306726207089
MTFR1,4,0.0005701254275940707,4,0.25,0.5,0.5,0.25
PPP2R3C,1610,0.22947548460661346,4,0.2565217391304348,0.23788819875776399,0.2608695652173913,0.22857142857142856
SMARCE1,2411,0.34364310148232613,4,0.3757776856076317,0.37121526337619243,0.37619245126503525,0.35835752799668186
TCF7L2,127,0.018101482326111744,4,0.05511811023622047,0.047244094488188976,0.06299212598425197,0.03937007874015748
