target_gene,n_real,n_src,h_K1_oracle,jac_K1_oracle,K_K1_oracle,h_K2_fixed253,jac_K2_fixed253,K_K2_fixed253,h_K3_source,jac_K3_source,K_K3_source,h_K4_calib,jac_K4_calib,K_K4_calib,h_K5_all,jac_K5_all,K_K5_all
ACLY,666,8,0.13363363363363365,0.07160096540627514,666,0.05855855855855856,0.04431818181818182,253,0.0045045045045045045,0.004470938897168405,8,0.02252252252252252,0.02074688796680498,72,1.0,0.09492588369441277,7016
ANXA6,1,0,0.0,0.0,1,1.0,0.003952569169960474,253,0.0,0.0,1,0.0,0.0,1,1.0,0.00014253135689851768,7016
ARPC2,133,9,0.06766917293233082,0.03501945525291829,133,0.12030075187969924,0.043243243243243246,253,0.022556390977443608,0.02158273381294964,9,0.03759398496240601,0.023923444976076555,81,1.0,0.01895667046750285,7016
CENPB,1,1,1.0,1.0,1,1.0,0.003952569169960474,253,1.0,1.0,1,1.0,0.14285714285714285,7,1.0,0.00014253135689851768,7016
COX4I1,126,12,0.06349206349206349,0.03278688524590164,126,0.07142857142857142,0.024324324324324326,253,0.031746031746031744,0.029850746268656716,12,0.06349206349206349,0.035398230088495575,108,1.0,0.01795895096921323,7016
COX6C,280,156,0.12142857142857143,0.06463878326996197,280,0.11428571428571428,0.06387225548902195,253,0.10357142857142858,0.07125307125307126,156,0.5071428571428571,0.058125255832992224,2305,1.0,0.039908779931584946,7016
CSK,103,1,0.038834951456310676,0.019801980198019802,103,0.07766990291262135,0.022988505747126436,253,0.009708737864077669,0.009708737864077669,1,0.009708737864077669,0.009259259259259259,6,1.0,0.01468072976054732,7016
CTSV,33,11,0.12121212121212122,0.06451612903225806,33,0.21212121212121213,0.025089605734767026,253,0.12121212121212122,0.1,11,0.18181818181818182,0.047619047619047616,99,1.0,0.004703534777651083,7016
DOT1L,2255,2,0.35609756097560974,0.2166172106824926,2255,0.04390243902439024,0.0410958904109589,253,0.0004434589800443459,0.0004432624113475177,2,0.003547671840354767,0.003532008830022075,18,1.0,0.32140820980615736,7016
DPH2,2780,470,0.48345323741007196,0.3187855787476281,2780,0.07014388489208633,0.06871035940803383,253,0.110431654676259,0.10431532449881074,470,0.996043165467626,0.39801638637343684,6946,1.0,0.3962371721778791,7016
EHMT1,916,65,0.17467248908296942,0.09569377990430622,916,0.06222707423580786,0.051258992805755396,253,0.015283842794759825,0.014477766287487074,65,0.0906113537117904,0.0680327868852459,387,1.0,0.1305587229190422,7016
EIF3H,3259,2482,0.5428045412703283,0.37249947357338387,3259,0.05154955507824486,0.050239234449760764,253,0.4252838293955201,0.3182548794489093,2482,1.0,0.4645096921322691,7016,1.0,0.4645096921322691,7016
FUBP1,1679,6,0.27635497319833235,0.1603317208016586,1679,0.048243001786777845,0.04376012965964344,253,0.001786777843954735,0.0017835909631391202,6,0.01072066706372841,0.010557184750733138,44,1.0,0.23931014823261118,7016
GNG12,446,5,0.07399103139013453,0.03841676367869616,446,0.04932735426008968,0.03249630723781388,253,0.0,0.0,5,0.002242152466367713,0.0020408163265306124,45,1.0,0.06356898517673888,7016
GSTZ1,1,1,0.0,0.0,1,1.0,0.003952569169960474,253,0.0,0.0,1,0.0,0.0,9,1.0,0.00014253135689851768,7016
HDAC3,2195,12,0.3412300683371298,0.2057127162867344,2195,0.055125284738041,0.05199828104856038,253,0.005011389521640091,0.005009107468123861,12,0.020956719817767654,0.020554066130473638,89,1.0,0.3128563283922463,7016
HDAC8,39,0,0.05128205128205128,0.02631578947368421,39,0.07692307692307693,0.010380622837370242,253,0.0,0.0,1,0.0,0.0,1,1.0,0.005558722919042189,7016
HMGCR,239,41,0.19665271966527198,0.10904872389791183,239,0.200836820083682,0.10810810810810811,253,0.12133891213389121,0.11553784860557768,41,0.2217573221757322,0.09532374100719425,370,1.0,0.034064994298745724,7016
HMGXB4,1,2,1.0,1.0,1,1.0,0.003952569169960474,253,1.0,0.5,2,1.0,0.05555555555555555,18,1.0,0.00014253135689851768,7016
HTATSF1,1313,25,0.2079207920792079,0.11602209944751381,1313,0.0456968773800457,0.0398406374501992,253,0.00456968773800457,0.0045045045045045045,25,0.031226199543031227,0.028140013726835965,185,1.0,0.1871436716077537,7016
IGF1R,113,0,0.017699115044247787,0.008928571428571428,113,0.02654867256637168,0.008264462809917356,253,0.008849557522123894,0.008849557522123894,1,0.008849557522123894,0.008849557522123894,1,1.0,0.016106043329532495,7016
ITGAV,2,0,0.0,0.0,2,0.0,0.0,253,0.0,0.0,1,0.0,0.0,1,1.0,0.00028506271379703536,7016
JAZF1,115,61,0.1826086956521739,0.10047846889952153,115,0.20869565217391303,0.06976744186046512,253,0.13043478260869565,0.09316770186335403,61,0.3565217391304348,0.04205128205128205,901,1.0,0.016391106043329533,7016
JMJD8,6,0,0.16666666666666666,0.09090909090909091,6,0.16666666666666666,0.003875968992248062,253,0.0,0.0,1,0.0,0.0,1,1.0,0.0008551881413911061,7016
KLHDC2,3,1,0.3333333333333333,0.2,3,0.3333333333333333,0.00392156862745098,253,0.3333333333333333,0.3333333333333333,1,0.3333333333333333,0.09090909090909091,9,1.0,0.00042759407069555304,7016
KRT18,4,9,0.5,0.3333333333333333,4,0.75,0.011811023622047244,253,0.5,0.18181818181818182,9,0.5,0.03571428571428571,54,1.0,0.0005701254275940707,7016
MAT2A,6,82,0.16666666666666666,0.09090909090909091,6,0.3333333333333333,0.007782101167315175,253,0.16666666666666666,0.011494252873563218,82,0.3333333333333333,0.001644736842105263,1212,1.0,0.0008551881413911061,7016
MAX,3583,976,0.5500976835054424,0.3794032723772858,3583,0.044934412503488695,0.04380952380952381,253,0.1615964275746581,0.14547738693467338,976,1.0,0.5106898517673888,7016,1.0,0.5106898517673888,7016
MGST1,41,5,0.04878048780487805,0.025,41,0.0975609756097561,0.013793103448275862,253,0.04878048780487805,0.045454545454545456,5,0.04878048780487805,0.017699115044247787,74,1.0,0.005843785632839224,7016
MTFR1,4,1,0.25,0.14285714285714285,4,0.5,0.00784313725490196,253,0.25,0.25,1,0.25,0.1,7,1.0,0.0005701254275940707,7016
NFE2L1,78,2,0.01282051282051282,0.0064516129032258064,78,0.02564102564102564,0.0060790273556231,253,0.0,0.0,2,0.0,0.0,18,1.0,0.011117445838084378,7016
PACSIN3,3,0,0.0,0.0,3,0.3333333333333333,0.00392156862745098,253,0.0,0.0,1,0.0,0.0,1,1.0,0.00042759407069555304,7016
PAXIP1,1969,38,0.31183341797866937,0.18471720818291215,1969,0.051295073641442354,0.047619047619047616,253,0.009141696292534281,0.00904977375565611,38,0.09547993905535805,0.08023900981647461,562,1.0,0.2806442417331813,7016
PPP2R3C,1610,12,0.2565217391304348,0.14713216957605985,1610,0.0484472049689441,0.043697478991596636,253,0.004968944099378882,0.004956629491945477,12,0.017391304347826087,0.016756433273488927,89,1.0,0.22947548460661346,7016
SLIRP,173,10,0.06936416184971098,0.03592814371257485,173,0.07514450867052024,0.031476997578692496,253,0.03468208092485549,0.03389830508474576,10,0.057803468208092484,0.04484304932735426,60,1.0,0.024657924743443558,7016
SMARCB1,1549,171,0.26662362814719176,0.1538175046554935,1549,0.05874757908327954,0.053185271770894216,253,0.04260813428018076,0.03990326481257558,171,0.19625564880568108,0.13427561837455831,1019,1.0,0.22078107183580387,7016
SMARCE1,2411,55,0.3757776856076317,0.2313585291113381,2411,0.04852758191621734,0.045936395759717315,253,0.014102032351721278,0.013980263157894737,55,0.0717544587308171,0.06540642722117203,407,1.0,0.34364310148232613,7016
STRAP,3027,828,0.489593657086224,0.3241469816272966,3027,0.054179055170135444,0.05263157894736842,253,0.15824248430789561,0.14188388625592416,828,1.0,0.431442417331813,7016,1.0,0.431442417331813,7016
SUPV3L1,1765,267,0.3189801699716714,0.18975396022918772,1765,0.06288951841359773,0.058206607236497114,253,0.06685552407932012,0.06165099268547544,267,0.42322946175637394,0.21835720549546916,2403,1.0,0.2515678449258837,7016
TCF7L2,127,1,0.05511811023622047,0.02834008097165992,127,0.07086614173228346,0.02425876010781671,253,0.0,0.0,1,0.0,0.0,7,1.0,0.018101482326111744,7016
TUSC3,1,1,1.0,1.0,1,1.0,0.003952569169960474,253,1.0,1.0,1,1.0,0.06666666666666667,15,1.0,0.00014253135689851768,7016
UQCRB,393,269,0.13231552162849872,0.07084468664850137,393,0.09923664122137404,0.0642504118616145,253,0.10432569974554708,0.06602254428341385,269,0.4529262086513995,0.06732223903177005,2429,1.0,0.056014823261117445,7016
