target_gene,n_real,n_src,k_pred,k_opt,jac_R1_pred,jac_R2_all,jac_R3_fixed,jac_R4_oracleK,jac_R5_oracleN
COX6C,280,156,2688,160,0.05585200996086802,0.039908779931584946,0.06387225548902195,0.07579462102689487,0.06463878326996197
DPH2,2780,470,7016,6295,0.3962371721778791,0.3962371721778791,0.06871035940803383,0.4137716155164356,0.3187855787476281
ITGAV,2,0,25,794,0.0,0.00028506271379703536,0.0,0.0025188916876574307,0.0
JAZF1,115,61,1135,73,0.0347682119205298,0.016391106043329533,0.06976744186046512,0.10588235294117647,0.10047846889952153
JMJD8,6,0,25,2,0.03333333333333333,0.0008551881413911061,0.003875968992248062,0.14285714285714285,0.09090909090909091
MAT2A,6,82,1488,2,0.0013404825737265416,0.0008551881413911061,0.007782101167315175,0.14285714285714285,0.09090909090909091
MGST1,41,5,130,3,0.017857142857142856,0.005843785632839224,0.013793103448275862,0.047619047619047616,0.025
PACSIN3,3,0,25,5,0.037037037037037035,0.00042759407069555304,0.00392156862745098,0.14285714285714285,0.0
PAXIP1,1969,38,738,6316,0.09639530174159579,0.2806442417331813,0.047619047619047616,0.2864906832298137,0.18471720818291215
TUSC3,1,1,47,1,0.02127659574468085,0.00014253135689851768,0.003952569169960474,1.0,1.0
ACLY,666,8,116,2988,0.02759526938239159,0.09492588369441277,0.04431818181818182,0.10159782936388302,0.07160096540627514
ANXA6,1,0,18,3,0.05555555555555555,0.00014253135689851768,0.003952569169960474,0.3333333333333333,0.0
COX4I1,126,12,158,91,0.03272727272727273,0.01795895096921323,0.024324324324324326,0.03827751196172249,0.03278688524590164
CTSV,33,11,148,7,0.03428571428571429,0.004703534777651083,0.025089605734767026,0.1111111111111111,0.06451612903225806
DOT1L,2255,2,46,6630,0.009210526315789473,0.32140820980615736,0.0410958904109589,0.32177923237131806,0.2166172106824926
GNG12,446,5,82,4829,0.009560229445506692,0.06356898517673888,0.03249630723781388,0.07019679448163928,0.03841676367869616
HMGXB4,1,2,46,1,0.021739130434782608,0.00014253135689851768,0.003952569169960474,1.0,1.0
STRAP,3027,828,5233,6326,0.4081145584725537,0.431442417331813,0.05263157894736842,0.4418066903036843,0.3241469816272966
SUPV3L1,1765,267,2021,5943,0.20419847328244276,0.2515678449258837,0.058206607236497114,0.266721446179129,0.18975396022918772
WAC,2739,145,1212,6314,0.16069330199764983,0.3903933865450399,0.048720644935155974,0.4053089102763117,0.27011361001623
CSK,103,1,43,108,0.006896551724137931,0.01468072976054732,0.022988505747126436,0.02926829268292683,0.019801980198019802
EHMT1,916,65,758,5226,0.08771929824561403,0.1305587229190422,0.051258992805755396,0.13383791766660513,0.09569377990430622
HDAC8,39,0,25,29,0.015873015873015872,0.005558722919042189,0.010380622837370242,0.030303030303030304,0.02631578947368421
KRT18,4,9,162,2,0.018404907975460124,0.0005701254275940707,0.011811023622047244,0.5,0.3333333333333333
SLIRP,173,10,175,30,0.03571428571428571,0.024657924743443558,0.031476997578692496,0.05181347150259067,0.03592814371257485
SMARCB1,1549,171,1660,6276,0.15848375451263538,0.22078107183580387,0.053185271770894216,0.22745098039215686,0.1538175046554935
VCL,19,1,43,1,0.01639344262295082,0.002708095781071836,0.0036900369003690036,0.05263157894736842,0.02702702702702703
ZNF581,9,1,43,1,0.04,0.001282782212086659,0.011583011583011582,0.1111111111111111,0.058823529411764705
ZNF598,209,1,43,2443,0.016129032258064516,0.029789053591790193,0.024390243902439025,0.032308291163877,0.024509803921568627
ARPC2,133,9,126,237,0.03187250996015936,0.01895667046750285,0.043243243243243246,0.04519774011299435,0.03501945525291829
EIF3H,3259,2482,7016,6312,0.4645096921322691,0.4645096921322691,0.050239234449760764,0.47791846819024086,0.37249947357338387
GSTZ1,1,1,25,10,0.04,0.00014253135689851768,0.003952569169960474,0.1,0.0
HMGCR,239,41,537,103,0.07927677329624479,0.034064994298745724,0.10810810810810811,0.14,0.10904872389791183
IGF1R,113,0,12,4702,0.008064516129032258,0.016106043329532495,0.008264462809917356,0.017970401691331923,0.008928571428571428
KLHDC2,3,1,25,1,0.037037037037037035,0.00042759407069555304,0.00392156862745098,0.3333333333333333,0.2
NFE2L1,78,2,37,574,0.0,0.011117445838084378,0.0060790273556231,0.013996889580093312,0.0064516129032258064
UQCRB,393,269,3517,813,0.06510487605557069,0.056014823261117445,0.0642504118616145,0.08064516129032258,0.07084468664850137
USF2,3086,8,113,6433,0.018465456860872333,0.43985176738882553,0.03502789832610043,0.4468764249886001,0.28824879983302026
CENPB,1,1,31,1,0.03225806451612903,0.00014253135689851768,0.003952569169960474,1.0,1.0
FUBP1,1679,6,84,6110,0.016138328530259365,0.23931014823261118,0.04376012965964344,0.2512449799196787,0.1603317208016586
HDAC3,2195,12,137,6315,0.03049049933716306,0.3128563283922463,0.05199828104856038,0.3216337940674018,0.2057127162867344
HTATSF1,1313,25,238,6306,0.035380507343124167,0.1871436716077537,0.0398406374501992,0.19965359785860495,0.11602209944751381
MAX,3583,976,4299,6309,0.42660633484162896,0.5106898517673888,0.04380952380952381,0.5225488687086347,0.3794032723772858
MTFR1,4,1,31,1,0.06060606060606061,0.0005701254275940707,0.00784313725490196,0.25,0.14285714285714285
PPP2R3C,1610,12,137,6283,0.022833723653395786,0.22947548460661346,0.043697478991596636,0.23889499293674463,0.14713216957605985
SMARCE1,2411,55,440,6602,0.06899137607799025,0.34364310148232613,0.045936395759717315,0.3452238805970149,0.2313585291113381
TCF7L2,127,1,31,88,0.01935483870967742,0.018101482326111744,0.02425876010781671,0.03365384615384615,0.02834008097165992
