target_gene,n_real,n_src,k_pred,k_opt,jac_R1_pred,jac_R2_all,jac_R3_fixed,jac_R4_oracleK,jac_R5_oracleN,n_cd4,cells_cd4,ontarget_effect_size,ontarget_significant,pred_F1_k562,pred_F2_cd4,pred_F3_both,pred_F4_both_eff
COX6C,280,156,2688,160,0.055852009960868,0.0399087799315849,0.0638722554890219,0.0757946210268948,0.0646387832699619,267.0,251.0,-16.946609761907812,True,2441.788332318386,1641.1432979846213,3340.656413979257,1763.619078416647
DPH2,2780,470,7016,6295,0.3962371721778791,0.3962371721778791,0.0687103594080338,0.4137716155164356,0.3187855787476281,54.0,328.0,-5.533292404675109,True,11238.27874796091,269.6001297699781,2424.7058866424345,2530.0751920001303
ITGAV,2,0,25,794,0.0,0.000285062713797,0.0,0.0025188916876574,0.0,2.0,741.0,-7.975311235742036,True,12.329611126122824,20.505282938398192,8.552744555429298,9.891653223176723
JAZF1,115,61,1135,73,0.0347682119205298,0.0163911060433295,0.0697674418604651,0.1058823529411764,0.1004784688995215,2.0,639.0,-3.54811052989632,False,1190.165283656675,20.505282938398192,119.24479847364128,127.21864427300902
JMJD8,6,0,25,2,0.0333333333333333,0.0008551881413911,0.003875968992248,0.1428571428571428,0.0909090909090909,5.0,642.0,-12.94931261700641,True,35.24112114912668,82.82303123677481,32.398715136145526,32.196090248130474
MGST1,41,5,130,3,0.0178571428571428,0.0058437856328392,0.0137931034482758,0.0476190476190476,0.025,0.0,264.0,-0.487890087727724,False,167.01817408165584,19.037486261078996,29.872639667721934,41.97282718125708
PACSIN3,3,0,25,5,0.037037037037037,0.0004275940706955,0.0039215686274509,0.1428571428571428,0.0,21.0,183.0,-2.001289930273821,True,21.534268312416458,210.63930554120603,44.89504783329579,150.1893370107177
PAXIP1,1969,38,738,6316,0.0963953017415957,0.2806442417331813,0.0476190476190476,0.2864906832298137,0.1847172081829121,1071.0,501.0,-13.865286835515844,True,495.12746855297604,2789.5697645041114,2469.3570399983864,2970.252549869044
ACLY,666,8,116,2988,0.0275952693823915,0.0949258836944127,0.0443181818181818,0.101597829363883,0.0716009654062751,13.0,433.0,-16.501470272077427,True,107.20370707355461,78.31836602977481,81.62497186095169,68.33272626179732
ANXA6,1,0,18,3,0.0555555555555555,0.0001425313568985,0.0039525691699604,0.3333333333333333,0.0,1.0,176.0,-29.35196409745806,True,12.467596825388066,13.510924465012607,6.861668667747397,1.8517130537951074
