target_gene,n_real,n_src,n_cd4,k_opt,K_S3_bin1src,jac_S3_bin1src,K_S4_bin2src,jac_S4_bin2src,K_S2_regress,jac_S2_regress,K_S1_all,jac_S1_all,K_S5_oracle,jac_S5_oracle
COX6C,280,156,267.0,160,6025,0.04404702765358503,6025,0.04404702765358503,3135,0.05303731113166821,7016,0.039908779931584946,160,0.07579462102689487
DPH2,2780,470,54.0,6295,6025,0.40744884910485935,6025,0.40744884910485935,2306,0.2885736002026856,7016,0.3962371721778791,6295,0.4137716155164356
ITGAV,2,0,2.0,794,3,0.0,1,0.0,17,0.0,7016,0.00028506271379703536,794,0.0025188916876574307
JAZF1,115,61,2.0,73,6025,0.017229953611663355,6025,0.017229953611663355,154,0.0846774193548387,7016,0.016391106043329533,73,0.10588235294117647
JMJD8,6,0,5.0,2,3,0.125,1,0.0,26,0.03225806451612903,7016,0.0008551881413911061,2,0.14285714285714285
MAT2A,6,82,,2,6025,0.000829737802854298,6025,0.000829737802854298,427,0.004640371229698376,7016,0.0008551881413911061,2,0.14285714285714285
MGST1,41,5,0.0,3,1,0.024390243902439025,1,0.024390243902439025,24,0.031746031746031744,7016,0.005843785632839224,3,0.047619047619047616
PACSIN3,3,0,21.0,5,3,0.0,1,0.0,53,0.01818181818181818,7016,0.00042759407069555304,5,0.14285714285714285
PAXIP1,1969,38,1071.0,6316,6025,0.28335206293144966,6025,0.28335206293144966,3265,0.2376448332939229,7016,0.2806442417331813,6316,0.2864906832298137
TUSC3,1,1,,1,1,1.0,1,1.0,59,0.01694915254237288,7016,0.00014253135689851768,1,1.0
ACLY,666,8,13.0,2988,6025,0.09832567301378857,6025,0.09832567301378857,86,0.021739130434782608,7016,0.09492588369441277,2988,0.10159782936388302
ANXA6,1,0,1.0,3,5,0.2,1,0.0,9,0.1111111111111111,7016,0.00014253135689851768,3,0.3333333333333333
COX4I1,126,12,429.0,91,6025,0.01955909166252279,6025,0.01955909166252279,965,0.02537593984962406,7016,0.01795895096921323,91,0.03827751196172249
CTSV,33,11,,7,6025,0.005310321938267508,6025,0.005310321938267508,97,0.04838709677419355,7016,0.004703534777651083,7,0.1111111111111111
DOT1L,2255,2,123.0,6630,1,0.0004434589800443459,6025,0.3170033402258629,228,0.035878181059657906,7016,0.32140820980615736,6630,0.32177923237131806
GNG12,446,5,,4829,1,0.0,6025,0.0688800792864222,72,0.007782101167315175,7016,0.06356898517673888,4829,0.07019679448163928
HMGXB4,1,2,11.0,1,1,1.0,1,1.0,49,0.02040816326530612,7016,0.00014253135689851768,1,1.0
STRAP,3027,828,1700.0,6326,6025,0.4318253717178108,6025,0.4318253717178108,7016,0.431442417331813,7016,0.431442417331813,6326,0.4418066903036843
