target_gene,n_real,n_src,k_opt,K_P0_leak,jac_P0_leak,K_P1_const,jac_P1_const,K_P2_ratio,jac_P2_ratio,K_P3_regime,jac_P3_regime,K_P4_all,jac_P4_all,K_P5_oracle,jac_P5_oracle
COX6C,280,156,160,6025,0.04404702765358503,288,0.06566604127579738,312,0.06666666666666667,7016,0.039908779931584946,7016,0.039908779931584946,160,0.07579462102689487
DPH2,2780,470,6295,6025,0.40744884910485935,288,0.07498248072880168,940,0.1712846347607053,7016,0.3962371721778791,7016,0.3962371721778791,6295,0.4137716155164356
ITGAV,2,0,794,3,0.0,288,0.0,2,0.0,28,0.0,7016,0.00028506271379703536,794,0.0025188916876574307
JAZF1,115,61,73,6025,0.017229953611663355,288,0.0633245382585752,122,0.09722222222222222,288,0.0633245382585752,7016,0.016391106043329533,73,0.10588235294117647
JMJD8,6,0,2,3,0.125,288,0.0034129692832764505,2,0.14285714285714285,28,0.030303030303030304,7016,0.0008551881413911061,2,0.14285714285714285
MAT2A,6,82,2,6025,0.000829737802854298,288,0.00684931506849315,164,0.005917159763313609,288,0.00684931506849315,7016,0.0008551881413911061,2,0.14285714285714285
MGST1,41,5,3,1,0.024390243902439025,288,0.015432098765432098,10,0.04081632653061224,288,0.015432098765432098,7016,0.005843785632839224,3,0.047619047619047616
PACSIN3,3,0,5,3,0.0,288,0.0034482758620689655,2,0.0,28,0.03333333333333333,7016,0.00042759407069555304,5,0.14285714285714285
PAXIP1,1969,38,6316,6025,0.28335206293144966,288,0.052214452214452214,76,0.016401590457256462,288,0.052214452214452214,7016,0.2806442417331813,6316,0.2864906832298137
TUSC3,1,1,1,1,1.0,288,0.003472222222222222,2,0.5,28,0.03571428571428571,7016,0.00014253135689851768,1,1.0
ACLY,666,8,2988,6025,0.09832567301378857,288,0.04950495049504951,16,0.0058997050147492625,288,0.04950495049504951,7016,0.09492588369441277,2988,0.10159782936388302
ANXA6,1,0,3,5,0.2,288,0.003472222222222222,2,0.0,28,0.03571428571428571,7016,0.00014253135689851768,3,0.3333333333333333
COX4I1,126,12,91,6025,0.01955909166252279,288,0.024752475247524754,24,0.034482758620689655,288,0.024752475247524754,7016,0.01795895096921323,91,0.03827751196172249
CTSV,33,11,7,6025,0.005310321938267508,288,0.022292993630573247,22,0.0784313725490196,288,0.022292993630573247,7016,0.004703534777651083,7,0.1111111111111111
DOT1L,2255,2,6630,1,0.0004434589800443459,288,0.04909240924092409,4,0.0008861320336730173,28,0.0048415492957746475,7016,0.32140820980615736,6630,0.32177923237131806
GNG12,446,5,4829,1,0.0,288,0.03380281690140845,10,0.0,288,0.03380281690140845,7016,0.06356898517673888,4829,0.07019679448163928
HMGXB4,1,2,1,1,1.0,288,0.003472222222222222,4,0.25,28,0.03571428571428571,7016,0.00014253135689851768,1,1.0
