target_gene,n_real,n_src,fold,jac_M0_all,K_M0_all,jac_M4_oracle,K_M4_oracle,jac_M1_mean,K_M1_mean,jac_M2_median,K_M2_median,jac_M3_coverage,K_M3_coverage
COX6C,280,156,0,0.039908779931584946,7016,0.07579462102689487,160,0.04390866996646974,6258,0.04390866996646974,6258,0.04390866996646974,6258
DPH2,2780,470,0,0.3962371721778791,7016,0.4137716155164356,6295,0.41262894654579557,6258,0.41262894654579557,6258,0.41262894654579557,6258
ITGAV,2,0,0,0.00028506271379703536,7016,0.0025188916876574307,794,0.0,3,0.0,29,0.0,29
JAZF1,115,61,0,0.016391106043329533,7016,0.10588235294117647,73,0.017401021711366538,6258,0.017401021711366538,6258,0.017401021711366538,6258
JMJD8,6,0,0,0.0008551881413911061,7016,0.14285714285714285,2,0.125,3,0.029411764705882353,29,0.029411764705882353,29
MAT2A,6,82,0,0.0008551881413911061,7016,0.14285714285714285,2,0.0007988496564946477,6258,0.0007988496564946477,6258,0.0007988496564946477,6258
MGST1,41,5,0,0.005843785632839224,7016,0.047619047619047616,3,0.024390243902439025,1,0.04,11,0.04,11
PACSIN3,3,0,0,0.00042759407069555304,7016,0.14285714285714285,5,0.0,3,0.03225806451612903,29,0.03225806451612903,29
PAXIP1,1969,38,0,0.2806442417331813,7016,0.2864906832298137,6316,0.28486646884273,6258,0.28486646884273,6258,0.20747663551401868,2553
TUSC3,1,1,0,0.00014253135689851768,7016,1.0,1,1.0,1,0.09090909090909091,11,0.09090909090909091,11
ACLY,666,8,1,0.09492588369441277,7016,0.10159782936388302,2988,0.09904761904761905,6258,0.09904761904761905,6258,0.09904761904761905,6258
ANXA6,1,0,1,0.00014253135689851768,7016,0.3333333333333333,3,0.2,5,0.034482758620689655,29,0.034482758620689655,29
COX4I1,126,12,1,0.01795895096921323,7016,0.03827751196172249,91,0.019482593420632386,6258,0.019482593420632386,6258,0.019482593420632386,6258
CTSV,33,11,1,0.004703534777651083,7016,0.1111111111111111,7,0.005112637801565745,6258,0.005112637801565745,6258,0.005112637801565745,6258
DOT1L,2255,2,1,0.32140820980615736,7016,0.32177923237131806,6630,0.0004434589800443459,1,0.0008865248226950354,3,0.0008865248226950354,3
GNG12,446,5,1,0.06356898517673888,7016,0.07019679448163928,4829,0.0,1,0.0,3,0.0,3
HMGXB4,1,2,1,0.00014253135689851768,7016,1.0,1,1.0,1,0.3333333333333333,3,0.3333333333333333,3
STRAP,3027,828,1,0.431442417331813,7016,0.4418066903036843,6326,0.44065166795965865,6258,0.44065166795965865,6258,0.44065166795965865,6258
SUPV3L1,1765,267,1,0.2515678449258837,7016,0.266721446179129,5943,0.2650583412172816,6258,0.2650583412172816,6258,0.2650583412172816,6258
WAC,2739,145,1,0.3903933865450399,7016,0.4053089102763117,6314,0.40402621722846443,6258,0.40402621722846443,6258,0.40402621722846443,6258
CSK,103,1,2,0.01468072976054732,7016,0.02926829268292683,108,0.009708737864077669,1,0.007633587786259542,29,0.008849557522123894,11
EHMT1,916,65,2,0.1305587229190422,7016,0.13383791766660513,5226,0.13279646297173536,6258,0.13279646297173536,6258,0.13279646297173536,6258
HDAC8,39,0,2,0.005558722919042189,7016,0.030303030303030304,29,0.0,3,0.0,5,0.0,5
KRT18,4,9,2,0.0005701254275940707,7016,0.5,2,0.0006391818472355385,6258,0.0006391818472355385,6258,0.0006391818472355385,6258
SLIRP,173,10,2,0.024657924743443558,7016,0.05181347150259067,30,0.02748042818341588,6258,0.02748042818341588,6258,0.02748042818341588,6258
SMARCB1,1549,171,2,0.22078107183580387,7016,0.22745098039215686,6276,0.22635878102419102,6258,0.22635878102419102,6258,0.22635878102419102,6258
VCL,19,1,2,0.002708095781071836,7016,0.05263157894736842,1,0.05263157894736842,1,0.02127659574468085,29,0.034482758620689655,11
ZNF581,9,1,2,0.001282782212086659,7016,0.1111111111111111,1,0.1111111111111111,1,0.02702702702702703,29,0.05263157894736842,11
ZNF598,209,1,2,0.029789053591790193,7016,0.032308291163877,2443,0.004784688995215311,1,0.01276595744680851,29,0.013824884792626729,11
ARPC2,133,9,3,0.01895667046750285,7016,0.04519774011299435,237,0.019623484365028716,6258,0.019623484365028716,6258,0.019623484365028716,6258
EIF3H,3259,2482,3,0.4645096921322691,7016,0.47791846819024086,6312,0.47641948495190817,6258,0.47641948495190817,6258,0.47641948495190817,6258
GSTZ1,1,1,3,0.00014253135689851768,7016,0.1,10,0.0,1,0.0,3,0.0,3
HMGCR,239,41,3,0.034064994298745724,7016,0.14,103,0.036700175522578586,6258,0.036700175522578586,6258,0.036700175522578586,6258
IGF1R,113,0,3,0.016106043329532495,7016,0.017970401691331923,4702,0.008695652173913044,3,0.008547008547008548,5,0.008547008547008548,5
KLHDC2,3,1,3,0.00042759407069555304,7016,0.3333333333333333,1,0.3333333333333333,1,0.2,3,0.2,3
NFE2L1,78,2,3,0.011117445838084378,7016,0.013996889580093312,574,0.0,1,0.0,3,0.0,3
UQCRB,393,269,3,0.056014823261117445,7016,0.08064516129032258,813,0.06110402042118698,6258,0.06110402042118698,6258,0.06110402042118698,6258
USF2,3086,8,3,0.43985176738882553,7016,0.4468764249886001,6433,0.0003240440699935191,1,0.0006478781988986071,3,0.0006478781988986071,3
CENPB,1,1,4,0.00014253135689851768,7016,1.0,1,1.0,1,0.09090909090909091,11,0.3333333333333333,3
FUBP1,1679,6,4,0.23931014823261118,7016,0.2512449799196787,6110,0.0005955926146515784,1,0.0035629453681710215,11,0.000594883997620464,3
HDAC3,2195,12,4,0.3128563283922463,7016,0.3216337940674018,6315,0.3205749101702859,6258,0.07704719645018153,475,0.07377049180327869,425
HTATSF1,1313,25,4,0.1871436716077537,7016,0.19965359785860495,6306,0.19889152810768013,6258,0.06112759643916914,475,0.058465286236297195,425
MAX,3583,976,4,0.5106898517673888,7016,0.5225488687086347,6309,0.5210200927357033,6258,0.5210200927357033,6258,0.5210200927357033,6258
MTFR1,4,1,4,0.0005701254275940707,7016,0.25,1,0.25,1,0.15384615384615385,11,0.16666666666666666,3
PPP2R3C,1610,12,4,0.22947548460661346,7016,0.23889499293674463,6283,0.2382751022977652,6258,0.06595092024539877,475,0.06044815007816571,425
SMARCE1,2411,55,4,0.34364310148232613,7016,0.3452238805970149,6602,0.34029066171923317,6258,0.07366071428571429,475,0.0677710843373494,425
TCF7L2,127,1,4,0.018101482326111744,7016,0.03365384615384615,88,0.0,1,0.0,11,0.0,3
