target_gene,n_real,h_base,h_w_icc_mul,h_w_icc_gate50,h_w_icc_gate75,h_w_sign_mul,h_w_sign_gate50,h_w_sign_gate75,h_w_corr_mul,h_w_corr_gate50,h_w_corr_gate75
ACLY,666,0.13363363363363365,0.14414414414414414,0.14264264264264265,0.13813813813813813,0.14114114114114115,0.15165165165165165,0.14264264264264265,0.15465465465465467,0.14864864864864866,0.15915915915915915
ANXA6,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ARPC2,133,0.06766917293233082,0.07518796992481203,0.08270676691729323,0.06766917293233082,0.07518796992481203,0.07518796992481203,0.08270676691729323,0.07518796992481203,0.06766917293233082,0.07518796992481203
CENPB,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX4I1,126,0.06349206349206349,0.07142857142857142,0.07142857142857142,0.07936507936507936,0.07142857142857142,0.06349206349206349,0.07142857142857142,0.07936507936507936,0.06349206349206349,0.07936507936507936
COX6C,280,0.12142857142857143,0.16428571428571428,0.1392857142857143,0.15,0.12857142857142856,0.13214285714285715,0.13214285714285715,0.16785714285714284,0.1392857142857143,0.14285714285714285
CSK,103,0.038834951456310676,0.05825242718446602,0.04854368932038835,0.04854368932038835,0.04854368932038835,0.05825242718446602,0.019417475728155338,0.038834951456310676,0.04854368932038835,0.04854368932038835
CTSV,33,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.030303030303030304,0.12121212121212122,0.12121212121212122,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.0
DOT1L,2255,0.35609756097560974,0.3552106430155211,0.3552106430155211,0.34057649667405765,0.36097560975609755,0.3645232815964523,0.3596452328159645,0.3694013303769401,0.3711751662971175,0.3623059866962306
DPH2,2780,0.48345323741007196,0.48884892086330933,0.47985611510791365,0.4438848920863309,0.4870503597122302,0.47733812949640286,0.43237410071942445,0.5014388489208633,0.49244604316546764,0.44928057553956835
EHMT1,916,0.17467248908296942,0.18231441048034935,0.18340611353711792,0.12663755458515283,0.1779475982532751,0.1779475982532751,0.14192139737991266,0.1648471615720524,0.18995633187772926,0.13209606986899564
EIF3H,3259,0.5428045412703283,0.5464866523473458,0.5243939858852409,0.4897207732433262,0.54525928198834,0.5283829395520098,0.4866523473458116,0.5510892911936177,0.5317582080392759,0.48910708806382325
FUBP1,1679,0.27635497319833235,0.2823108993448481,0.27695056581298394,0.27754615842763547,0.2823108993448481,0.28945801072066707,0.27635497319833235,0.29779630732578916,0.29064919594997024,0.2930315664085765
GNG12,446,0.07399103139013453,0.10538116591928251,0.08520179372197309,0.11883408071748879,0.07623318385650224,0.07399103139013453,0.11659192825112108,0.12556053811659193,0.07847533632286996,0.12331838565022421
GSTZ1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDAC3,2195,0.3412300683371298,0.3562642369020501,0.38724373576309795,0.35125284738041,0.3489749430523918,0.37585421412300685,0.35170842824601367,0.371753986332574,0.3835990888382688,0.35990888382687924
HDAC8,39,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564
HMGCR,239,0.19665271966527198,0.20920502092050208,0.200836820083682,0.12133891213389121,0.200836820083682,0.20502092050209206,0.12133891213389121,0.16736401673640167,0.20920502092050208,0.1297071129707113
HMGXB4,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
HTATSF1,1313,0.2079207920792079,0.23000761614623,0.2338156892612338,0.28103579588728106,0.21782178217821782,0.23000761614623,0.26961157654226964,0.26047220106626046,0.23686214775323686,0.2916984006092917
